id,invs_yr,invs_dsrt,invs_area_nm,dnf_src_nm,qtmt_nm,iem_nm,iem_cnt,meter_per_iem_cnt,adm_zn_nm,qtmt_cd,iem_cd,invs_ymd,cst_nm,str_la,str_lo,end_la,end_lo
1,2022.0,4차,거제두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
2,2022.0,4차,거제두모,국내기인,플라스틱류,비닐봉지,80,4,경남,PL,PL_2_31,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
3,2022.0,4차,거제두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",78,3.9,경남,PL,PL_2_32,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
4,2022.0,4차,거제두모,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
5,2022.0,4차,거제두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",124,6.2,경남,PL,PL_2_25,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
6,2022.0,4차,거제두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
7,2022.0,4차,거제두모,국내기인,플라스틱류,낚싯줄,1,0.05,경남,PL,PL_2_27,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
8,2022.0,4차,거제두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220731E7,남해안,34.980383,128.694822,34.981023,128.695034
337,2022.0,5차,거제두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
338,2022.0,5차,거제두모,국내기인,플라스틱류,비닐봉지,41,2.05,경남,PL,PL_2_31,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
339,2022.0,5차,거제두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",9,0.45,경남,PL,PL_2_32,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
340,2022.0,5차,거제두모,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
341,2022.0,5차,거제두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",44,2.2,경남,PL,PL_2_25,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
342,2022.0,5차,거제두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
343,2022.0,5차,거제두모,국내기인,플라스틱류,낚싯줄,0,0,경남,PL,PL_2_27,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
344,2022.0,5차,거제두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.022093E7,남해안,34.980383,128.694822,34.981023,128.695034
113,2022.0,6차,거제두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
114,2022.0,6차,거제두모,국내기인,플라스틱류,비닐봉지,65,3.25,경남,PL,PL_2_31,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
115,2022.0,6차,거제두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",14,0.7,경남,PL,PL_2_32,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
116,2022.0,6차,거제두모,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
117,2022.0,6차,거제두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",33,1.65,경남,PL,PL_2_25,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
118,2022.0,6차,거제두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
119,2022.0,6차,거제두모,국내기인,플라스틱류,낚싯줄,2,0.1,경남,PL,PL_2_27,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
120,2022.0,6차,거제두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.022113E7,남해안,34.980383,128.694822,34.981023,128.695034
449,2022.0,3차,거제두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",6,0.3,경남,PL,PL_2_11,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
450,2022.0,3차,거제두모,국내기인,플라스틱류,비닐봉지,127,6.35,경남,PL,PL_2_31,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
451,2022.0,3차,거제두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",43,2.15,경남,PL,PL_2_32,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
452,2022.0,3차,거제두모,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
453,2022.0,3차,거제두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",81,4.05,경남,PL,PL_2_25,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
454,2022.0,3차,거제두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
455,2022.0,3차,거제두모,국내기인,플라스틱류,낚싯줄,2,0.1,경남,PL,PL_2_27,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
456,2022.0,3차,거제두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220531E7,남해안,34.980383,128.694822,34.981023,128.695034
225,2022.0,2차,거제두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
226,2022.0,2차,거제두모,국내기인,플라스틱류,비닐봉지,44,2.2,경남,PL,PL_2_31,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
227,2022.0,2차,거제두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",15,0.75,경남,PL,PL_2_32,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
228,2022.0,2차,거제두모,국내기인,플라스틱류,필름형 풍선,2,0.1,경남,PL,PL_2_33,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
229,2022.0,2차,거제두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",50,2.5,경남,PL,PL_2_25,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
230,2022.0,2차,거제두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
231,2022.0,2차,거제두모,국내기인,플라스틱류,낚싯줄,1,0.05,경남,PL,PL_2_27,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
232,2022.0,2차,거제두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220331E7,남해안,34.980383,128.694822,34.981023,128.695034
9,2022.0,4차,고흥신흥,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,전남,PL,PL_2_11,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
10,2022.0,4차,고흥신흥,국내기인,플라스틱류,비닐봉지,1,0.05,전남,PL,PL_2_31,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
11,2022.0,4차,고흥신흥,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,전남,PL,PL_2_32,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
12,2022.0,4차,고흥신흥,국내기인,플라스틱류,필름형 풍선,0,0,전남,PL,PL_2_33,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
13,2022.0,4차,고흥신흥,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",14,0.7,전남,PL,PL_2_25,2.0220731E7,남해안,34.584309,127.145063,34.586191,127.145855
