지역,year_2018_count,year_2018_weight,year_2019_count,year_2019_weight,year_2020_count,year_2020_weight,year_2021_count,year_2021_weight,str_la,str_lo,end_la,end_lo,year_2022_count,year_2022_weight
강릉송정,131,9.7,186,1.8,303,5.1,781,7.6,,,,,979,7.6
부안변산,165,346.1,153,215.6,99,106.8,174,181.6,,,,,186,181.6
속초청초,685,49.3,977,14.4,595,16.3,1118,18.7,,,,,1375,18.7
순천반월,1488,54.1,382,11.8,131,4.6,,,,,,,,
울진후정,572,9.5,800,21.3,321,9.9,459,13.4,,,,,731,13.4
포항칠포,1115,52.2,1047,32.3,653,57.7,4181,236.8,,,,,2872,236.8
보령석대도,297,813.4,179,196.8,92,89.3,307,8.6,,,,,297,8.6
신안임자도,340,149.6,532,104,85,43,8017,724.6,,,,,5276,724.6
안산말부흥,75,2.2,57,1.7,38,1.2,114,2.9,,,,,30,2.9
울산대왕암,1256,45.2,2117,15.6,1066,7.8,1610,138.7,,,,,1165,138.7
진도하조도,157,23.8,109,26.5,38,1.2,1501,186.6,,,,,831,186.6
태안백리포,126,140.2,135,103.4,809,28.4,850,64.6,,,,,1901,64.6
고창동호해변,253,108.4,202,37,301,72.8,728,104.3,,,,,245,104.3
동해노봉해변,159,2.7,368,7.8,366,10.7,1163,11.7,,,,,1032,11.7
울주진하해변,2939,113.3,1039,54.6,761,34.7,1450,58.7,,,,,1619,58.7
해남송평해변,359,125,258,117.4,206,32.6,440,68.1,,,,,328,68.1
해남예락해변,241,83.2,205,114.8,169,16.3,440,68.1,,,,,328,68.1
강화여차리갯벌,2004,357.6,1485,81.6,791,31.4,415,13.1,,,,,656,13.1
서천다사항해변,134,89.6,303,243.3,101,66.5,179,112,,,,,242,112
신안고장리해변,380,100.2,400,210.8,661,122.7,8017,724.6,,,,,5276,724.6
영광백바위해변,373,139.6,211,50.4,148,76.1,246,78.8,,,,,156,78.8
영덕고래불해변,516,25.7,722,8.6,928,23.5,421,3.4,,,,,574,3.4
인천백령도 사곶해안,304,115.9,114,63.8,51,31,59,2.2,,,,,86,2.2
인천영종도 용유해변,71,6.4,71,5.5,42,2.2,59,2.2,,,,,86,2.2
포항구룡포 대보해변,2103,53.1,4494,213.6,2776,66.9,4181,236.8,,,,,2872,236.8
인천덕적도 서포리해변,100,7.8,107,3.3,84,1.7,59,2.2,,,,,86,2.2
태안안면도 바람아래해변,306,553.8,181,180.2,940,27.2,850,64.6,,,,,1901,64.6
제주사계리해안,71,3.4,25,11.4,190,24.8,1986,42.8,33.222112,126.296288,33.223216,126.297093,1008,42.8
해남묵동리,62,11.9,313,36,48,2.1,440,68.1,34.353639,126.611089,34.352882,126.610013,328,68.1
제주김녕리해안,1151,195.9,1193,83.3,726,48.1,1986,42.8,33.565746,126.765561,33.565407,126.764416,1008,42.8
완도신지도해변,206,83.4,328,148.4,1113,129,893,98.3,34.328257,126.777491,34.32823,126.779133,996,98.3
고흥신흥,704,188.8,186,28.1,142,16.3,367,10.1,34.584309,127.145063,34.586191,127.145855,493,10.1
고흥염포해변,529,51.3,652,78.8,213,11.7,367,10.1,34.432709,127.49205,34.43324,127.49123,493,10.1
여수백야도해변,809,45.5,348,12.1,169,6,9999,194.4,34.611901,127.64179,34.612125,127.642624,8684,194.4
남해유구해변,365,62.9,174,12.9,248,22.4,311,33.7,34.74927,127.85085,34.748614,127.852069,198,33.7
사천아두도,416,52,1240,35.6,701,36.2,407,26.6,34.901437,128.058667,34.901096,128.059412,310,26.6
통영망일봉,643,19.9,1177,27.8,1030,47.6,49102,880.6,34.844393,128.443972,34.843857,128.443373,105781,880.6
마산봉암갯벌,758,15.2,644,19.3,666,171.4,903,9.7,35.2154,128.623975,35.215688,128.623716,1154,9.7
거제두모몽돌해변,8075,77.7,5282,54.7,2693,32.1,4614,54.7,34.980383,128.694822,34.981023,128.695034,3987,54.7
부산해양대,1493,13.5,2324,12.3,452,9.1,2310,37.8,35.075482,129.091375,35.074851,129.090912,3237,37.8
