지역,개수,무게
강화여차리,656,29.3
안산말부흥,30,0.7
태안백리포,1484,41.6
보령석대도,143,64.2
부안변산,186,86.5
신안임자도,52,11.4
진도하조도,82,19.9
해남묵동리,208,9.7
고흥신흥,441,37.9
여수반월,288,5.6
사천아두도,310,10.3
통영망일봉,1162,70.9
마산봉암,1154,18.3
부산해양대,2296,12.5
울산대왕암,2519,30.7
포항칠포,1369,19.2
울진후정,731,13
강릉송정,979,32.3
속초청초,1375,15.8
인천백령도,956,46.3
인천영종도,88,2.2
인천영흥도,86,4.4
태안안면도,1901,83.6
서천다사항,242,96.5
고창동호,245,26.9
영광백바위,156,24.4
신안고장,329,5.2
해남예락,265,40.5
해남송평,328,85.6
제주김녕리,1930,83.5
완도신지도,747,53.6
여수백야도,321,13.8
고흥염포,493,24
남해유구,198,18.6
거제두모,3987,95.2
울주나사리,1619,61.5
동해노봉,1032,21.9
영덕고래불,574,7.4
포항구룡포,2872,53.6
제주사계리,663,21.4
고성하일,2835,40.3
군산선유도,48,0.7
당진석문,108,1.4
보령삽시도,297,2.1
부산가덕도,5305,57.1
부산일광,3237,34.1
시흥정왕,1223,11.8
신안압해도,1969,286
신안우이도,1686,785.6
신안흑산도,5276,208.7
여수거문도,4438,146.7
여수안도,8684,257.7
완도보길도,1255,75.2
완도평일도,996,61.5
울릉현포,1615,186.7
울산주전,1165,11.2
제주위미,1008,21.6
진도가사도,831,124
통영욕지도,105781,625.6
화성서신,120,1.5
